album_id,artist_ids,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track_number,type,uri
6BlgorSQT3bQ0vJaNJHMzQ,"[""4r1ZDYKzPt3iIjuq8LbT6X""]",1,292559,1,"{""isrc"": ""USE831533960""}","{""spotify"": ""https://open.spotify.com/track/66uODGIU3bnjmu4sL92rQF""}",https://api.spotify.com/v1/tracks/66uODGIU3bnjmu4sL92rQF,66uODGIU3bnjmu4sL92rQF,0,Yo Soy El Rey,15,https://p.scdn.co/mp3-preview/3c551f949c3598cbea81fc3bcae1c51939a04331?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,10,track,spotify:track:66uODGIU3bnjmu4sL92rQF
4A1AMdFCleeoSQQH6UokSf,"[""1P184E1yqU3hzj71d1oOzb""]",1,199303,0,"{""isrc"": ""TCACF1564211""}","{""spotify"": ""https://open.spotify.com/track/67KAP5jfh2ifCLQpqcJcCl""}",https://api.spotify.com/v1/tracks/67KAP5jfh2ifCLQpqcJcCl,67KAP5jfh2ifCLQpqcJcCl,0,Asi Creci Yo (Yo No Creci En El Bronx),31,https://p.scdn.co/mp3-preview/444bef7d57aa0d56ae02d50c40746e26b4029557?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:67KAP5jfh2ifCLQpqcJcCl
7LP8ofOXYH2AGzc8ZCt0Oe,"[""07PdYoE4jVRF6Ut40GgVSP""]",1,187693,0,"{""isrc"": ""MXF010800918""}","{""spotify"": ""https://open.spotify.com/track/67MCST2lFdgJub78hM6CEL""}",https://api.spotify.com/v1/tracks/67MCST2lFdgJub78hM6CEL,67MCST2lFdgJub78hM6CEL,0,Esa Nena Mueve el Culo,37,https://p.scdn.co/mp3-preview/73e4b56e48721b799982df133b31e7a7f00f6143?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,10,track,spotify:track:67MCST2lFdgJub78hM6CEL
5mFWSvCmBqQX8xPsa9tena,"[""1gPiNBRjOB9XochAAFR3iM""]",1,232601,1,"{""isrc"": ""TCADF1721757""}","{""spotify"": ""https://open.spotify.com/track/67e978D8cffnAWJLmXxoum""}",https://api.spotify.com/v1/tracks/67e978D8cffnAWJLmXxoum,67e978D8cffnAWJLmXxoum,0,Bag of Weed (feat. iQlover & Robot),18,https://p.scdn.co/mp3-preview/4b0aeed9680310e67060f1e18a7babe57c39f295?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:67e978D8cffnAWJLmXxoum
0lJoJEExVV3vEbmjC7DJrP,"[""4tm8CEdm4pkQsEh4jIr9Yp""]",1,273110,1,"{""isrc"": ""FRX201728736""}","{""spotify"": ""https://open.spotify.com/track/68oFTnl77GdGMrRlc2cDhK""}",https://api.spotify.com/v1/tracks/68oFTnl77GdGMrRlc2cDhK,68oFTnl77GdGMrRlc2cDhK,0,Barrio Santa,29,https://p.scdn.co/mp3-preview/b86679967c980ec27275e2a45fdd9d6e7627c6fd?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:68oFTnl77GdGMrRlc2cDhK
1YsMsdZg7RB9eYHhW8fi3h,"[""6DjBv6gyR1HLsvwGUOD5V9""]",1,238210,1,"{""isrc"": ""TCACY1793008""}","{""spotify"": ""https://open.spotify.com/track/68q0aAYzOkB3q3ahb11cYx""}",https://api.spotify.com/v1/tracks/68q0aAYzOkB3q3ahb11cYx,68q0aAYzOkB3q3ahb11cYx,0,Corren Con Suerte,47,https://p.scdn.co/mp3-preview/a1391ef092dc7d2e10d5766d815d161071bb5940?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,14,track,spotify:track:68q0aAYzOkB3q3ahb11cYx
3pwlhLje7wQt7mYmzwdoKa,"[""1NsRsBdRV7uWMw0SYaHo01""]",1,183000,0,"{""isrc"": ""QZMZ92110682""}","{""spotify"": ""https://open.spotify.com/track/69b2TzbN6hzC2V3WJHXHWj""}",https://api.spotify.com/v1/tracks/69b2TzbN6hzC2V3WJHXHWj,69b2TzbN6hzC2V3WJHXHWj,0,3Am,28,https://p.scdn.co/mp3-preview/892bfbba39e4db8aca0bab6048bf3e31048f3cb0?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:69b2TzbN6hzC2V3WJHXHWj
5iAmNA0XSaceFAzPGkpuhp,"[""07H7kklAEFGHh0VxZNJ9bD""]",1,248312,1,"{""isrc"": ""FR2X41942241""}","{""spotify"": ""https://open.spotify.com/track/6AHT9TyhToIdGcXV7JyZjr""}",https://api.spotify.com/v1/tracks/6AHT9TyhToIdGcXV7JyZjr,6AHT9TyhToIdGcXV7JyZjr,0,Prendido,0,https://p.scdn.co/mp3-preview/8cc0d275a6ec8670997864ded6482e5dd9b1f3f2?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:6AHT9TyhToIdGcXV7JyZjr
7cftuQ1mezvQCWSHtP7eA9,"[""7I85Ma5xjAo6nlvqOCIiWx""]",1,259036,1,"{""isrc"": ""QM6P42209694""}","{""spotify"": ""https://open.spotify.com/track/6AgCTp4EMV690aC3y3YjPx""}",https://api.spotify.com/v1/tracks/6AgCTp4EMV690aC3y3YjPx,6AgCTp4EMV690aC3y3YjPx,0,Civics,43,https://p.scdn.co/mp3-preview/b1c34ddf8a2daae4ebc0f5ff3d0f9149783a0bf1?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,10,track,spotify:track:6AgCTp4EMV690aC3y3YjPx
0f5Bxz0icXVD2B4BldVU0z,"[""51yyeVxyvecgePAWXmeLUE""]",1,198038,0,"{""isrc"": ""QZTVM2112776""}","{""spotify"": ""https://open.spotify.com/track/6Bm9V8VM7Ez5RGmDBQbTk5""}",https://api.spotify.com/v1/tracks/6Bm9V8VM7Ez5RGmDBQbTk5,6Bm9V8VM7Ez5RGmDBQbTk5,0,"Bien Pedx, Pero Bien Chidx - Commentary",10,https://p.scdn.co/mp3-preview/0cf6ce54ce6b5dec6c2fab9fd87c40b045b69770?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,22,track,spotify:track:6Bm9V8VM7Ez5RGmDBQbTk5
