external_urls,href,id,name,type,uri
"{""spotify"": ""https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5""}",https://api.spotify.com/v1/artists/0L8ExT028jH3ddEcZwqJJ5,0L8ExT028jH3ddEcZwqJJ5,Red Hot Chili Peppers,artist,spotify:artist:0L8ExT028jH3ddEcZwqJJ5
"{""spotify"": ""https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of""}",https://api.spotify.com/v1/artists/0LyfQWJT6nXafLPZqxe9Of,0LyfQWJT6nXafLPZqxe9Of,Various Artists,artist,spotify:artist:0LyfQWJT6nXafLPZqxe9Of
"{""spotify"": ""https://open.spotify.com/artist/0MHAqHWHBxYMx5UOBA57fF""}",https://api.spotify.com/v1/artists/0MHAqHWHBxYMx5UOBA57fF,0MHAqHWHBxYMx5UOBA57fF,Wax Gvng,artist,spotify:artist:0MHAqHWHBxYMx5UOBA57fF
"{""spotify"": ""https://open.spotify.com/artist/0N6H5exnFMoW4yNQ3vDJ3Z""}",https://api.spotify.com/v1/artists/0N6H5exnFMoW4yNQ3vDJ3Z,0N6H5exnFMoW4yNQ3vDJ3Z,Iluminatik,artist,spotify:artist:0N6H5exnFMoW4yNQ3vDJ3Z
"{""spotify"": ""https://open.spotify.com/artist/0NQDFDKG7p0IRcXdqT9uNk""}",https://api.spotify.com/v1/artists/0NQDFDKG7p0IRcXdqT9uNk,0NQDFDKG7p0IRcXdqT9uNk,Ohm,artist,spotify:artist:0NQDFDKG7p0IRcXdqT9uNk
"{""spotify"": ""https://open.spotify.com/artist/0ONHkAv9pCAFxb0zJwDNTy""}",https://api.spotify.com/v1/artists/0ONHkAv9pCAFxb0zJwDNTy,0ONHkAv9pCAFxb0zJwDNTy,Pusha T,artist,spotify:artist:0ONHkAv9pCAFxb0zJwDNTy
"{""spotify"": ""https://open.spotify.com/artist/0QHgL1lAIqAw0HtD7YldmP""}",https://api.spotify.com/v1/artists/0QHgL1lAIqAw0HtD7YldmP,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,artist,spotify:artist:0QHgL1lAIqAw0HtD7YldmP
"{""spotify"": ""https://open.spotify.com/artist/0RjHsbbdfnI3okpxdZ2JOV""}",https://api.spotify.com/v1/artists/0RjHsbbdfnI3okpxdZ2JOV,0RjHsbbdfnI3okpxdZ2JOV,Ximbo,artist,spotify:artist:0RjHsbbdfnI3okpxdZ2JOV
"{""spotify"": ""https://open.spotify.com/artist/0SmgVe3giVHaJjGmIz8xA4""}",https://api.spotify.com/v1/artists/0SmgVe3giVHaJjGmIz8xA4,0SmgVe3giVHaJjGmIz8xA4,Yoss Bones,artist,spotify:artist:0SmgVe3giVHaJjGmIz8xA4
"{""spotify"": ""https://open.spotify.com/artist/0U5RYP2HMdGv2GhicLhkOI""}",https://api.spotify.com/v1/artists/0U5RYP2HMdGv2GhicLhkOI,0U5RYP2HMdGv2GhicLhkOI,Neto Peña,artist,spotify:artist:0U5RYP2HMdGv2GhicLhkOI
"{""spotify"": ""https://open.spotify.com/artist/0U8dIwzBn17JkhYxmznp6T""}",https://api.spotify.com/v1/artists/0U8dIwzBn17JkhYxmznp6T,0U8dIwzBn17JkhYxmznp6T,Jayrick,artist,spotify:artist:0U8dIwzBn17JkhYxmznp6T
"{""spotify"": ""https://open.spotify.com/artist/0VZrPa7mWAYXH4CwmYk8Km""}",https://api.spotify.com/v1/artists/0VZrPa7mWAYXH4CwmYk8Km,0VZrPa7mWAYXH4CwmYk8Km,Kidd Keo,artist,spotify:artist:0VZrPa7mWAYXH4CwmYk8Km
"{""spotify"": ""https://open.spotify.com/artist/0WAabvKqQjPexI9UlQZ8sk""}",https://api.spotify.com/v1/artists/0WAabvKqQjPexI9UlQZ8sk,0WAabvKqQjPexI9UlQZ8sk,MOF,artist,spotify:artist:0WAabvKqQjPexI9UlQZ8sk
"{""spotify"": ""https://open.spotify.com/artist/0Wqbw2ZKno6MrvDcLpc0ax""}",https://api.spotify.com/v1/artists/0Wqbw2ZKno6MrvDcLpc0ax,0Wqbw2ZKno6MrvDcLpc0ax,Tef Poe,artist,spotify:artist:0Wqbw2ZKno6MrvDcLpc0ax
"{""spotify"": ""https://open.spotify.com/artist/0XK6kT7xcZAlcYrNjOgzJe""}",https://api.spotify.com/v1/artists/0XK6kT7xcZAlcYrNjOgzJe,0XK6kT7xcZAlcYrNjOgzJe,Carla Morrison,artist,spotify:artist:0XK6kT7xcZAlcYrNjOgzJe
"{""spotify"": ""https://open.spotify.com/artist/0XVOL55Wa1lbWs1tAsv5nf""}",https://api.spotify.com/v1/artists/0XVOL55Wa1lbWs1tAsv5nf,0XVOL55Wa1lbWs1tAsv5nf,Berbal La 4 Verde,artist,spotify:artist:0XVOL55Wa1lbWs1tAsv5nf
"{""spotify"": ""https://open.spotify.com/artist/0XeEobZplHxzM9QzFQWLiR""}",https://api.spotify.com/v1/artists/0XeEobZplHxzM9QzFQWLiR,0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,artist,spotify:artist:0XeEobZplHxzM9QzFQWLiR
"{""spotify"": ""https://open.spotify.com/artist/0Xo4VFS3v07L0GwIVkZLfg""}",https://api.spotify.com/v1/artists/0Xo4VFS3v07L0GwIVkZLfg,0Xo4VFS3v07L0GwIVkZLfg,Homer El Mero Mero,artist,spotify:artist:0Xo4VFS3v07L0GwIVkZLfg
"{""spotify"": ""https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP""}",https://api.spotify.com/v1/artists/0XwVARXT135rw8lyw1EeWP,0XwVARXT135rw8lyw1EeWP,Christian Nodal,artist,spotify:artist:0XwVARXT135rw8lyw1EeWP
"{""spotify"": ""https://open.spotify.com/artist/0YinUQ50QDB7ZxSCLyQ40k""}",https://api.spotify.com/v1/artists/0YinUQ50QDB7ZxSCLyQ40k,0YinUQ50QDB7ZxSCLyQ40k,Mustard,artist,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k
"{""spotify"": ""https://open.spotify.com/artist/0Z91zZ8meb9o36mZ9kRFWd""}",https://api.spotify.com/v1/artists/0Z91zZ8meb9o36mZ9kRFWd,0Z91zZ8meb9o36mZ9kRFWd,SyckSyllables,artist,spotify:artist:0Z91zZ8meb9o36mZ9kRFWd
"{""spotify"": ""https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP""}",https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP,0ZrpamOxcZybMHGg1AYtHP,Robin Thicke,artist,spotify:artist:0ZrpamOxcZybMHGg1AYtHP
"{""spotify"": ""https://open.spotify.com/artist/0aS41TT32O5PsnAB7qZj7L""}",https://api.spotify.com/v1/artists/0aS41TT32O5PsnAB7qZj7L,0aS41TT32O5PsnAB7qZj7L,Raaginder,artist,spotify:artist:0aS41TT32O5PsnAB7qZj7L
"{""spotify"": ""https://open.spotify.com/artist/0cbx0hVFtnEBVGVBExW09X""}",https://api.spotify.com/v1/artists/0cbx0hVFtnEBVGVBExW09X,0cbx0hVFtnEBVGVBExW09X,Self Provoked,artist,spotify:artist:0cbx0hVFtnEBVGVBExW09X
"{""spotify"": ""https://open.spotify.com/artist/0elWFr7TW8piilVRYJUe4P""}",https://api.spotify.com/v1/artists/0elWFr7TW8piilVRYJUe4P,0elWFr7TW8piilVRYJUe4P,Natanael Cano,artist,spotify:artist:0elWFr7TW8piilVRYJUe4P
"{""spotify"": ""https://open.spotify.com/artist/0fIdQWpwzU2oEtsoyArDOL""}",https://api.spotify.com/v1/artists/0fIdQWpwzU2oEtsoyArDOL,0fIdQWpwzU2oEtsoyArDOL,Ramon Ayala,artist,spotify:artist:0fIdQWpwzU2oEtsoyArDOL
