album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,album_group,is_playable
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0N6H5exnFMoW4yNQ3vDJ3Z""}, ""href"": ""https://api.spotify.com/v1/artists/0N6H5exnFMoW4yNQ3vDJ3Z"", ""id"": ""0N6H5exnFMoW4yNQ3vDJ3Z"", ""name"": ""Iluminatik"", ""type"": ""artist"", ""uri"": ""spotify:artist:0N6H5exnFMoW4yNQ3vDJ3Z""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7CvKsTEWv1BS3LydN8HgG6""}, ""href"": ""https://api.spotify.com/v1/artists/7CvKsTEWv1BS3LydN8HgG6"", ""id"": ""7CvKsTEWv1BS3LydN8HgG6"", ""name"": ""ILUMINATIK BUFFON"", ""type"": ""artist"", ""uri"": ""spotify:artist:7CvKsTEWv1BS3LydN8HgG6""}]","{""spotify"": ""https://open.spotify.com/album/1T1iS00hEIyLbvAZl5UO7G""}",https://api.spotify.com/v1/albums/1T1iS00hEIyLbvAZl5UO7G,1T1iS00hEIyLbvAZl5UO7G,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273ffba69006684feb5d328e093"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02ffba69006684feb5d328e093"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851ffba69006684feb5d328e093"", ""width"": 64}]",Depresión,2022-05-03,day,1,album,spotify:album:1T1iS00hEIyLbvAZl5UO7G,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6L3x3if9RVimruryD9LoFb""}, ""href"": ""https://api.spotify.com/v1/artists/6L3x3if9RVimruryD9LoFb"", ""id"": ""6L3x3if9RVimruryD9LoFb"", ""name"": ""King Lil G"", ""type"": ""artist"", ""uri"": ""spotify:artist:6L3x3if9RVimruryD9LoFb""}]","{""spotify"": ""https://open.spotify.com/album/1TvjkxiOk5a3jhv22SSlT4""}",https://api.spotify.com/v1/albums/1TvjkxiOk5a3jhv22SSlT4,1TvjkxiOk5a3jhv22SSlT4,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273bcb7ec065eb85b2a945a9278"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02bcb7ec065eb85b2a945a9278"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851bcb7ec065eb85b2a945a9278"", ""width"": 64}]",Aqui Se Mueren,2021-07-16,day,1,album,spotify:album:1TvjkxiOk5a3jhv22SSlT4,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4tm8CEdm4pkQsEh4jIr9Yp""}, ""href"": ""https://api.spotify.com/v1/artists/4tm8CEdm4pkQsEh4jIr9Yp"", ""id"": ""4tm8CEdm4pkQsEh4jIr9Yp"", ""name"": ""Santa Fe Klan"", ""type"": ""artist"", ""uri"": ""spotify:artist:4tm8CEdm4pkQsEh4jIr9Yp""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0U5RYP2HMdGv2GhicLhkOI""}, ""href"": ""https://api.spotify.com/v1/artists/0U5RYP2HMdGv2GhicLhkOI"", ""id"": ""0U5RYP2HMdGv2GhicLhkOI"", ""name"": ""Neto Peña"", ""type"": ""artist"", ""uri"": ""spotify:artist:0U5RYP2HMdGv2GhicLhkOI""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0SmgVe3giVHaJjGmIz8xA4""}, ""href"": ""https://api.spotify.com/v1/artists/0SmgVe3giVHaJjGmIz8xA4"", ""id"": ""0SmgVe3giVHaJjGmIz8xA4"", ""name"": ""Yoss Bones"", ""type"": ""artist"", ""uri"": ""spotify:artist:0SmgVe3giVHaJjGmIz8xA4""}]","{""spotify"": ""https://open.spotify.com/album/1U4AU6ken2YH258a4lZyd8""}",https://api.spotify.com/v1/albums/1U4AU6ken2YH258a4lZyd8,1U4AU6ken2YH258a4lZyd8,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2731a571794b913d191604462ca"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e021a571794b913d191604462ca"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048511a571794b913d191604462ca"", ""width"": 64}]",Debo Entender,2019-12-12,day,1,album,spotify:album:1U4AU6ken2YH258a4lZyd8,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0BUAw0HerrYAE0pUYlt12f""}, ""href"": ""https://api.spotify.com/v1/artists/0BUAw0HerrYAE0pUYlt12f"", ""id"": ""0BUAw0HerrYAE0pUYlt12f"", ""name"": ""Hata Proof Records Presents Mr Nava"", ""type"": ""artist"", ""uri"": ""spotify:artist:0BUAw0HerrYAE0pUYlt12f""}]","{""spotify"": ""https://open.spotify.com/album/1UKPeNYEVOZymgh6lgv3BA""}",https://api.spotify.com/v1/albums/1UKPeNYEVOZymgh6lgv3BA,1UKPeNYEVOZymgh6lgv3BA,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273f42110fbf45f3caeaacfb944"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02f42110fbf45f3caeaacfb944"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851f42110fbf45f3caeaacfb944"", ""width"": 64}]",Orgullosamente Illegal,2009-08-11,day,18,album,spotify:album:1UKPeNYEVOZymgh6lgv3BA,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0yNSzH5nZmHzeE2xn6Xshb""}, ""href"": ""https://api.spotify.com/v1/artists/0yNSzH5nZmHzeE2xn6Xshb"", ""id"": ""0yNSzH5nZmHzeE2xn6Xshb"", ""name"": ""Calle 13"", ""type"": ""artist"", ""uri"": ""spotify:artist:0yNSzH5nZmHzeE2xn6Xshb""}]","{""spotify"": ""https://open.spotify.com/album/1VNM2gtd2MHgzO8ED22lhT""}",https://api.spotify.com/v1/albums/1VNM2gtd2MHgzO8ED22lhT,1VNM2gtd2MHgzO8ED22lhT,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273023bc3ef3e4e1f0516aa6132"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02023bc3ef3e4e1f0516aa6132"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851023bc3ef3e4e1f0516aa6132"", ""width"": 64}]",Los De Atrás Vienen Conmigo,2008-07-21,day,16,album,spotify:album:1VNM2gtd2MHgzO8ED22lhT,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0s3Y8xkWIDr2B4qDsgKJUL""}, ""href"": ""https://api.spotify.com/v1/artists/0s3Y8xkWIDr2B4qDsgKJUL"", ""id"": ""0s3Y8xkWIDr2B4qDsgKJUL"", ""name"": ""Arsenal de Rimas"", ""type"": ""artist"", ""uri"": ""spotify:artist:0s3Y8xkWIDr2B4qDsgKJUL""}]","{""spotify"": ""https://open.spotify.com/album/1VeyrS9tFqNwYtk3vn2LHb""}",https://api.spotify.com/v1/albums/1VeyrS9tFqNwYtk3vn2LHb,1VeyrS9tFqNwYtk3vn2LHb,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273727a58d1394d68f520d9448d"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02727a58d1394d68f520d9448d"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851727a58d1394d68f520d9448d"", ""width"": 64}]",Un Piedra Papel,2007-02-02,day,13,album,spotify:album:1VeyrS9tFqNwYtk3vn2LHb,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2uG7vLSehD2quPeYSPkT73""}, ""href"": ""https://api.spotify.com/v1/artists/2uG7vLSehD2quPeYSPkT73"", ""id"": ""2uG7vLSehD2quPeYSPkT73"", ""name"": ""Tabernario"", ""type"": ""artist"", ""uri"": ""spotify:artist:2uG7vLSehD2quPeYSPkT73""}]","{""spotify"": ""https://open.spotify.com/album/1VsHcnUpKnjDGVy1VJgnyL""}",https://api.spotify.com/v1/albums/1VsHcnUpKnjDGVy1VJgnyL,1VsHcnUpKnjDGVy1VJgnyL,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273d1faddd9bab6904dbf6c1308"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02d1faddd9bab6904dbf6c1308"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851d1faddd9bab6904dbf6c1308"", ""width"": 64}]",El Regreso del G Funk,2019-09-06,day,1,album,spotify:album:1VsHcnUpKnjDGVy1VJgnyL,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3ScIigEm9KZUrUQtXzBmKJ""}, ""href"": ""https://api.spotify.com/v1/artists/3ScIigEm9KZUrUQtXzBmKJ"", ""id"": ""3ScIigEm9KZUrUQtXzBmKJ"", ""name"": ""Cozy Cuz"", ""type"": ""artist"", ""uri"": ""spotify:artist:3ScIigEm9KZUrUQtXzBmKJ""}]","{""spotify"": ""https://open.spotify.com/album/1WGdVpN4KrhjGTEtoZE9DN""}",https://api.spotify.com/v1/albums/1WGdVpN4KrhjGTEtoZE9DN,1WGdVpN4KrhjGTEtoZE9DN,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273239038ab4d45b9d890687de7"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02239038ab4d45b9d890687de7"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851239038ab4d45b9d890687de7"", ""width"": 64}]",Equilibrio (Deluxe),2023-01-13,day,10,album,spotify:album:1WGdVpN4KrhjGTEtoZE9DN,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3Mcii5XWf6E0lrY3Uky4cA""}, ""href"": ""https://api.spotify.com/v1/artists/3Mcii5XWf6E0lrY3Uky4cA"", ""id"": ""3Mcii5XWf6E0lrY3Uky4cA"", ""name"": ""Ice Cube"", ""type"": ""artist"", ""uri"": ""spotify:artist:3Mcii5XWf6E0lrY3Uky4cA""}]","{""spotify"": ""https://open.spotify.com/album/1WXp9ofuosOWHVjkEnvuzL""}",https://api.spotify.com/v1/albums/1WXp9ofuosOWHVjkEnvuzL,1WXp9ofuosOWHVjkEnvuzL,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27380f60c18ae2f201fd4cb7164"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0280f60c18ae2f201fd4cb7164"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485180f60c18ae2f201fd4cb7164"", ""width"": 64}]",I Am The West,2010-01-01,day,16,album,spotify:album:1WXp9ofuosOWHVjkEnvuzL,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP""}, ""href"": ""https://api.spotify.com/v1/artists/0ZrpamOxcZybMHGg1AYtHP"", ""id"": ""0ZrpamOxcZybMHGg1AYtHP"", ""name"": ""Robin Thicke"", ""type"": ""artist"", ""uri"": ""spotify:artist:0ZrpamOxcZybMHGg1AYtHP""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q""}, ""href"": ""https://api.spotify.com/v1/artists/20qISvAhX20dpIbOOzGK3q"", ""id"": ""20qISvAhX20dpIbOOzGK3q"", ""name"": ""Nas"", ""type"": ""artist"", ""uri"": ""spotify:artist:20qISvAhX20dpIbOOzGK3q""}]","{""spotify"": ""https://open.spotify.com/album/1XQhOIc7u1TRJAhDoVxv4r""}",https://api.spotify.com/v1/albums/1XQhOIc7u1TRJAhDoVxv4r,1XQhOIc7u1TRJAhDoVxv4r,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2737756c9e1c14b74fd9ce7cb95"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e027756c9e1c14b74fd9ce7cb95"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048517756c9e1c14b74fd9ce7cb95"", ""width"": 64}]",Deep,2016-10-12,day,1,album,spotify:album:1XQhOIc7u1TRJAhDoVxv4r,,
