album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,album_group,is_playable
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3L7OHIT4kfdcDSnnGM0TKN""}, ""href"": ""https://api.spotify.com/v1/artists/3L7OHIT4kfdcDSnnGM0TKN"", ""id"": ""3L7OHIT4kfdcDSnnGM0TKN"", ""name"": ""El Pinche Mara"", ""type"": ""artist"", ""uri"": ""spotify:artist:3L7OHIT4kfdcDSnnGM0TKN""}]","{""spotify"": ""https://open.spotify.com/album/009RfrV6iVJcoht9FDlX6l""}",https://api.spotify.com/v1/albums/009RfrV6iVJcoht9FDlX6l,009RfrV6iVJcoht9FDlX6l,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2739d05f95cf5c0588f2abc6b81"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e029d05f95cf5c0588f2abc6b81"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048519d05f95cf5c0588f2abc6b81"", ""width"": 64}]",Morfina,2020-05-14,day,1,album,spotify:album:009RfrV6iVJcoht9FDlX6l,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW""}, ""href"": ""https://api.spotify.com/v1/artists/2hejA1Dkf8v8R0koF44FvW"", ""id"": ""2hejA1Dkf8v8R0koF44FvW"", ""name"": ""Gera MX"", ""type"": ""artist"", ""uri"": ""spotify:artist:2hejA1Dkf8v8R0koF44FvW""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0U8dIwzBn17JkhYxmznp6T""}, ""href"": ""https://api.spotify.com/v1/artists/0U8dIwzBn17JkhYxmznp6T"", ""id"": ""0U8dIwzBn17JkhYxmznp6T"", ""name"": ""Jayrick"", ""type"": ""artist"", ""uri"": ""spotify:artist:0U8dIwzBn17JkhYxmznp6T""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5FJ0JzZcNCGhquRX2zPmbL""}, ""href"": ""https://api.spotify.com/v1/artists/5FJ0JzZcNCGhquRX2zPmbL"", ""id"": ""5FJ0JzZcNCGhquRX2zPmbL"", ""name"": ""Ervin River"", ""type"": ""artist"", ""uri"": ""spotify:artist:5FJ0JzZcNCGhquRX2zPmbL""}]","{""spotify"": ""https://open.spotify.com/album/00yEYZXNrMn4LUpRGdo4I7""}",https://api.spotify.com/v1/albums/00yEYZXNrMn4LUpRGdo4I7,00yEYZXNrMn4LUpRGdo4I7,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273b47998377169088d0273b3e0"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02b47998377169088d0273b3e0"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851b47998377169088d0273b3e0"", ""width"": 64}]",Complicado,2021-12-17,day,1,album,spotify:album:00yEYZXNrMn4LUpRGdo4I7,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4QFG9KrGWEbr6hNA58CAqE""}, ""href"": ""https://api.spotify.com/v1/artists/4QFG9KrGWEbr6hNA58CAqE"", ""id"": ""4QFG9KrGWEbr6hNA58CAqE"", ""name"": ""Aleman"", ""type"": ""artist"", ""uri"": ""spotify:artist:4QFG9KrGWEbr6hNA58CAqE""}]","{""spotify"": ""https://open.spotify.com/album/01AooA3ywuIEk6EQaoWjh3""}",https://api.spotify.com/v1/albums/01AooA3ywuIEk6EQaoWjh3,01AooA3ywuIEk6EQaoWjh3,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273a369e3b6cea585f8692a2005"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02a369e3b6cea585f8692a2005"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851a369e3b6cea585f8692a2005"", ""width"": 64}]",Rolemos Otro,2016-02-05,day,18,album,spotify:album:01AooA3ywuIEk6EQaoWjh3,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP""}, ""href"": ""https://api.spotify.com/v1/artists/07PdYoE4jVRF6Ut40GgVSP"", ""id"": ""07PdYoE4jVRF6Ut40GgVSP"", ""name"": ""Cartel De Santa"", ""type"": ""artist"", ""uri"": ""spotify:artist:07PdYoE4jVRF6Ut40GgVSP""}]","{""spotify"": ""https://open.spotify.com/album/01UJJt3Aregqk8jZMDPB5x""}",https://api.spotify.com/v1/albums/01UJJt3Aregqk8jZMDPB5x,01UJJt3Aregqk8jZMDPB5x,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27360883025b91f449fc40f54df"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0260883025b91f449fc40f54df"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485160883025b91f449fc40f54df"", ""width"": 64}]",Vol. II,2004-07-28,day,16,album,spotify:album:01UJJt3Aregqk8jZMDPB5x,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4QFG9KrGWEbr6hNA58CAqE""}, ""href"": ""https://api.spotify.com/v1/artists/4QFG9KrGWEbr6hNA58CAqE"", ""id"": ""4QFG9KrGWEbr6hNA58CAqE"", ""name"": ""Aleman"", ""type"": ""artist"", ""uri"": ""spotify:artist:4QFG9KrGWEbr6hNA58CAqE""}]","{""spotify"": ""https://open.spotify.com/album/01VepFuJgEdDQnvVEykhk6""}",https://api.spotify.com/v1/albums/01VepFuJgEdDQnvVEykhk6,01VepFuJgEdDQnvVEykhk6,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2739db94ed73644aa0998e7696b"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e029db94ed73644aa0998e7696b"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048519db94ed73644aa0998e7696b"", ""width"": 64}]",Humo en la Trampa,2019-01-01,day,11,album,spotify:album:01VepFuJgEdDQnvVEykhk6,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1FCItwxfRieMGhR0eRxotU""}, ""href"": ""https://api.spotify.com/v1/artists/1FCItwxfRieMGhR0eRxotU"", ""id"": ""1FCItwxfRieMGhR0eRxotU"", ""name"": ""Rich Vagos"", ""type"": ""artist"", ""uri"": ""spotify:artist:1FCItwxfRieMGhR0eRxotU""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0U8dIwzBn17JkhYxmznp6T""}, ""href"": ""https://api.spotify.com/v1/artists/0U8dIwzBn17JkhYxmznp6T"", ""id"": ""0U8dIwzBn17JkhYxmznp6T"", ""name"": ""Jayrick"", ""type"": ""artist"", ""uri"": ""spotify:artist:0U8dIwzBn17JkhYxmznp6T""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1tuNNda2SSH3o4lUms5K6C""}, ""href"": ""https://api.spotify.com/v1/artists/1tuNNda2SSH3o4lUms5K6C"", ""id"": ""1tuNNda2SSH3o4lUms5K6C"", ""name"": ""Sebastian Esquivel"", ""type"": ""artist"", ""uri"": ""spotify:artist:1tuNNda2SSH3o4lUms5K6C""}]","{""spotify"": ""https://open.spotify.com/album/02r5GQTeyId72iagm3Gxm1""}",https://api.spotify.com/v1/albums/02r5GQTeyId72iagm3Gxm1,02r5GQTeyId72iagm3Gxm1,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2738f998c5aebc632aee41b4e84"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e028f998c5aebc632aee41b4e84"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048518f998c5aebc632aee41b4e84"", ""width"": 64}]",Adiamantado,2023-04-28,day,1,album,spotify:album:02r5GQTeyId72iagm3Gxm1,single,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4Hzj6dfl1y5x5TzCSsvLB6""}, ""href"": ""https://api.spotify.com/v1/artists/4Hzj6dfl1y5x5TzCSsvLB6"", ""id"": ""4Hzj6dfl1y5x5TzCSsvLB6"", ""name"": ""Remik Gonzalez"", ""type"": ""artist"", ""uri"": ""spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6""}]","{""spotify"": ""https://open.spotify.com/album/02yKeyAvEbnVAZbfqAjg5E""}",https://api.spotify.com/v1/albums/02yKeyAvEbnVAZbfqAjg5E,02yKeyAvEbnVAZbfqAjg5E,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273157fa7b98520bcf4e9a43282"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02157fa7b98520bcf4e9a43282"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851157fa7b98520bcf4e9a43282"", ""width"": 64}]",Como Si Nada,2021-10-08,day,1,album,spotify:album:02yKeyAvEbnVAZbfqAjg5E,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5lYeiQxUTcGKVgAuTqbTeL""}, ""href"": ""https://api.spotify.com/v1/artists/5lYeiQxUTcGKVgAuTqbTeL"", ""id"": ""5lYeiQxUTcGKVgAuTqbTeL"", ""name"": ""Charles Ans"", ""type"": ""artist"", ""uri"": ""spotify:artist:5lYeiQxUTcGKVgAuTqbTeL""}]","{""spotify"": ""https://open.spotify.com/album/04MJFDXcwKuZizmnMKqyhb""}",https://api.spotify.com/v1/albums/04MJFDXcwKuZizmnMKqyhb,04MJFDXcwKuZizmnMKqyhb,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273b60bc22a5986739614e091f3"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02b60bc22a5986739614e091f3"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851b60bc22a5986739614e091f3"", ""width"": 64}]",Hasta Que la Muerte Nos Separe,2020-02-12,day,1,album,spotify:album:04MJFDXcwKuZizmnMKqyhb,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5lYeiQxUTcGKVgAuTqbTeL""}, ""href"": ""https://api.spotify.com/v1/artists/5lYeiQxUTcGKVgAuTqbTeL"", ""id"": ""5lYeiQxUTcGKVgAuTqbTeL"", ""name"": ""Charles Ans"", ""type"": ""artist"", ""uri"": ""spotify:artist:5lYeiQxUTcGKVgAuTqbTeL""}]","{""spotify"": ""https://open.spotify.com/album/0503zQbeyfwiMZ2hObZsei""}",https://api.spotify.com/v1/albums/0503zQbeyfwiMZ2hObZsei,0503zQbeyfwiMZ2hObZsei,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2735500c667a1b921dfa246ac05"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e025500c667a1b921dfa246ac05"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048515500c667a1b921dfa246ac05"", ""width"": 64}]",Empapelado,2020-09-25,day,1,album,spotify:album:0503zQbeyfwiMZ2hObZsei,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4Hzj6dfl1y5x5TzCSsvLB6""}, ""href"": ""https://api.spotify.com/v1/artists/4Hzj6dfl1y5x5TzCSsvLB6"", ""id"": ""4Hzj6dfl1y5x5TzCSsvLB6"", ""name"": ""Remik Gonzalez"", ""type"": ""artist"", ""uri"": ""spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6""}]","{""spotify"": ""https://open.spotify.com/album/05DldXdPR0ngd0KEaFD704""}",https://api.spotify.com/v1/albums/05DldXdPR0ngd0KEaFD704,05DldXdPR0ngd0KEaFD704,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27370641c3efecb5b9b1d386460"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0270641c3efecb5b9b1d386460"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485170641c3efecb5b9b1d386460"", ""width"": 64}]",Cuadernos al Horno,2016-06-20,day,1,album,spotify:album:05DldXdPR0ngd0KEaFD704,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/79VjkJJEo8D7HbNfDWfFtJ""}, ""href"": ""https://api.spotify.com/v1/artists/79VjkJJEo8D7HbNfDWfFtJ"", ""id"": ""79VjkJJEo8D7HbNfDWfFtJ"", ""name"": ""Homegrown Mafia"", ""type"": ""artist"", ""uri"": ""spotify:artist:79VjkJJEo8D7HbNfDWfFtJ""}]","{""spotify"": ""https://open.spotify.com/album/06MY63AuRPSndofMf6jE0j""}",https://api.spotify.com/v1/albums/06MY63AuRPSndofMf6jE0j,06MY63AuRPSndofMf6jE0j,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2736c7a13a8104a8136ea325de2"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e026c7a13a8104a8136ea325de2"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048516c7a13a8104a8136ea325de2"", ""width"": 64}]",Homegrizzlies,2016-05-16,day,1,album,spotify:album:06MY63AuRPSndofMf6jE0j,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/00dwwnz3V4kRfu3UFYpJLz""}, ""href"": ""https://api.spotify.com/v1/artists/00dwwnz3V4kRfu3UFYpJLz"", ""id"": ""00dwwnz3V4kRfu3UFYpJLz"", ""name"": ""Cherub"", ""type"": ""artist"", ""uri"": ""spotify:artist:00dwwnz3V4kRfu3UFYpJLz""}]","{""spotify"": ""https://open.spotify.com/album/070DVvXuLD3fM3KYs47tas""}",https://api.spotify.com/v1/albums/070DVvXuLD3fM3KYs47tas,070DVvXuLD3fM3KYs47tas,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2738544567bdc5afbafaffc3449"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e028544567bdc5afbafaffc3449"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048518544567bdc5afbafaffc3449"", ""width"": 64}]",Year of the Caprese,2014,year,12,album,spotify:album:070DVvXuLD3fM3KYs47tas,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP""}, ""href"": ""https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP"", ""id"": ""7tYKF4w9nC0nq9CsPZTHyP"", ""name"": ""SZA"", ""type"": ""artist"", ""uri"": ""spotify:artist:7tYKF4w9nC0nq9CsPZTHyP""}]","{""spotify"": ""https://open.spotify.com/album/07w0rG5TETcyihsEIZR3qG""}",https://api.spotify.com/v1/albums/07w0rG5TETcyihsEIZR3qG,07w0rG5TETcyihsEIZR3qG,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0270dbc9f47669d120ad874ec1"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485170dbc9f47669d120ad874ec1"", ""width"": 64}]",SOS,2022-12-09,day,23,album,spotify:album:07w0rG5TETcyihsEIZR3qG,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2IMZYfNi21MGqxopj9fWx8""}, ""href"": ""https://api.spotify.com/v1/artists/2IMZYfNi21MGqxopj9fWx8"", ""id"": ""2IMZYfNi21MGqxopj9fWx8"", ""name"": ""Rels B"", ""type"": ""artist"", ""uri"": ""spotify:artist:2IMZYfNi21MGqxopj9fWx8""}]","{""spotify"": ""https://open.spotify.com/album/08hzIHhGuEgo1l0io1pd3n""}",https://api.spotify.com/v1/albums/08hzIHhGuEgo1l0io1pd3n,08hzIHhGuEgo1l0io1pd3n,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2737251c789fbdd6b665a5e0c0d"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e027251c789fbdd6b665a5e0c0d"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048517251c789fbdd6b665a5e0c0d"", ""width"": 64}]",King Flakk,2018-01-05,day,1,album,spotify:album:08hzIHhGuEgo1l0io1pd3n,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0N6H5exnFMoW4yNQ3vDJ3Z""}, ""href"": ""https://api.spotify.com/v1/artists/0N6H5exnFMoW4yNQ3vDJ3Z"", ""id"": ""0N6H5exnFMoW4yNQ3vDJ3Z"", ""name"": ""Iluminatik"", ""type"": ""artist"", ""uri"": ""spotify:artist:0N6H5exnFMoW4yNQ3vDJ3Z""}]","{""spotify"": ""https://open.spotify.com/album/0952DHdMfGabOjyNiURiEI""}",https://api.spotify.com/v1/albums/0952DHdMfGabOjyNiURiEI,0952DHdMfGabOjyNiURiEI,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273365410b175289f118e5bafa4"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02365410b175289f118e5bafa4"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851365410b175289f118e5bafa4"", ""width"": 64}]",Buffon Morgellonz,2018-02-14,day,19,album,spotify:album:0952DHdMfGabOjyNiURiEI,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2N2aJ1SXQxMkhHD8C6fhYD""}, ""href"": ""https://api.spotify.com/v1/artists/2N2aJ1SXQxMkhHD8C6fhYD"", ""id"": ""2N2aJ1SXQxMkhHD8C6fhYD"", ""name"": ""Millonario"", ""type"": ""artist"", ""uri"": ""spotify:artist:2N2aJ1SXQxMkhHD8C6fhYD""}]","{""spotify"": ""https://open.spotify.com/album/09MLjnMTZLMQqgNeGokq7r""}",https://api.spotify.com/v1/albums/09MLjnMTZLMQqgNeGokq7r,09MLjnMTZLMQqgNeGokq7r,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27362d631d6f54ba08b7fccbaa3"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0262d631d6f54ba08b7fccbaa3"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485162d631d6f54ba08b7fccbaa3"", ""width"": 64}]",Trap y No Llores,2018-08-03,day,7,album,spotify:album:09MLjnMTZLMQqgNeGokq7r,album,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP""}, ""href"": ""https://api.spotify.com/v1/artists/0XwVARXT135rw8lyw1EeWP"", ""id"": ""0XwVARXT135rw8lyw1EeWP"", ""name"": ""Christian Nodal"", ""type"": ""artist"", ""uri"": ""spotify:artist:0XwVARXT135rw8lyw1EeWP""}]","{""spotify"": ""https://open.spotify.com/album/09WScwK7HlzuM0dXAdXaMy""}",https://api.spotify.com/v1/albums/09WScwK7HlzuM0dXAdXaMy,09WScwK7HlzuM0dXAdXaMy,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2731950beee4fa826799ac29093"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e021950beee4fa826799ac29093"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048511950beee4fa826799ac29093"", ""width"": 64}]",Se Me Olvidó,2020-03-06,day,1,album,spotify:album:09WScwK7HlzuM0dXAdXaMy,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4kKaAWGdu6WW0W415RWaQA""}, ""href"": ""https://api.spotify.com/v1/artists/4kKaAWGdu6WW0W415RWaQA"", ""id"": ""4kKaAWGdu6WW0W415RWaQA"", ""name"": ""South Park Mexican"", ""type"": ""artist"", ""uri"": ""spotify:artist:4kKaAWGdu6WW0W415RWaQA""}]","{""spotify"": ""https://open.spotify.com/album/09Xf2KxWvXS88dd5OdTcu9""}",https://api.spotify.com/v1/albums/09Xf2KxWvXS88dd5OdTcu9,09Xf2KxWvXS88dd5OdTcu9,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273d9fad756a57fa43002c5d860"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02d9fad756a57fa43002c5d860"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851d9fad756a57fa43002c5d860"", ""width"": 64}]",Never Change,2001-11-06,day,17,album,spotify:album:09Xf2KxWvXS88dd5OdTcu9,album,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6HnHBbeScFiQKXt3sUQA3Z""}, ""href"": ""https://api.spotify.com/v1/artists/6HnHBbeScFiQKXt3sUQA3Z"", ""id"": ""6HnHBbeScFiQKXt3sUQA3Z"", ""name"": ""Eydie Gormé"", ""type"": ""artist"", ""uri"": ""spotify:artist:6HnHBbeScFiQKXt3sUQA3Z""}]","{""spotify"": ""https://open.spotify.com/album/09bB3v1b09ROK8YZkRd87w""}",https://api.spotify.com/v1/albums/09bB3v1b09ROK8YZkRd87w,09bB3v1b09ROK8YZkRd87w,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2731882bb790ff01387342c9750"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e021882bb790ff01387342c9750"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048511882bb790ff01387342c9750"", ""width"": 64}]",Canta En Español Con Los Panchos,1964,year,12,album,spotify:album:09bB3v1b09ROK8YZkRd87w,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0l1OSQn6GtjfEE1Cb8LE1t""}, ""href"": ""https://api.spotify.com/v1/artists/0l1OSQn6GtjfEE1Cb8LE1t"", ""id"": ""0l1OSQn6GtjfEE1Cb8LE1t"", ""name"": ""Zimple"", ""type"": ""artist"", ""uri"": ""spotify:artist:0l1OSQn6GtjfEE1Cb8LE1t""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW""}, ""href"": ""https://api.spotify.com/v1/artists/2hejA1Dkf8v8R0koF44FvW"", ""id"": ""2hejA1Dkf8v8R0koF44FvW"", ""name"": ""Gera MX"", ""type"": ""artist"", ""uri"": ""spotify:artist:2hejA1Dkf8v8R0koF44FvW""}]","{""spotify"": ""https://open.spotify.com/album/09ldaSUls1i12I0gpPXP0W""}",https://api.spotify.com/v1/albums/09ldaSUls1i12I0gpPXP0W,09ldaSUls1i12I0gpPXP0W,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273640510ce8c4f312dfe43f7b6"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02640510ce8c4f312dfe43f7b6"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851640510ce8c4f312dfe43f7b6"", ""width"": 64}]",Mi Realidad,2021-12-10,day,1,album,spotify:album:09ldaSUls1i12I0gpPXP0W,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW""}, ""href"": ""https://api.spotify.com/v1/artists/2hejA1Dkf8v8R0koF44FvW"", ""id"": ""2hejA1Dkf8v8R0koF44FvW"", ""name"": ""Gera MX"", ""type"": ""artist"", ""uri"": ""spotify:artist:2hejA1Dkf8v8R0koF44FvW""}]","{""spotify"": ""https://open.spotify.com/album/0BE8t2uJrcYHL9BpnIz4KG""}",https://api.spotify.com/v1/albums/0BE8t2uJrcYHL9BpnIz4KG,0BE8t2uJrcYHL9BpnIz4KG,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27390db5190c779f5bb23c57fad"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0290db5190c779f5bb23c57fad"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485190db5190c779f5bb23c57fad"", ""width"": 64}]",No Me Mates Antes De Hoy,2015,year,14,album,spotify:album:0BE8t2uJrcYHL9BpnIz4KG,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0SmgVe3giVHaJjGmIz8xA4""}, ""href"": ""https://api.spotify.com/v1/artists/0SmgVe3giVHaJjGmIz8xA4"", ""id"": ""0SmgVe3giVHaJjGmIz8xA4"", ""name"": ""Yoss Bones"", ""type"": ""artist"", ""uri"": ""spotify:artist:0SmgVe3giVHaJjGmIz8xA4""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/6JG2QQcaQBzinELNvu9PRk""}, ""href"": ""https://api.spotify.com/v1/artists/6JG2QQcaQBzinELNvu9PRk"", ""id"": ""6JG2QQcaQBzinELNvu9PRk"", ""name"": ""Bipo Montana"", ""type"": ""artist"", ""uri"": ""spotify:artist:6JG2QQcaQBzinELNvu9PRk""}]","{""spotify"": ""https://open.spotify.com/album/0BGHfLapjIuDSD1zMpj1lJ""}",https://api.spotify.com/v1/albums/0BGHfLapjIuDSD1zMpj1lJ,0BGHfLapjIuDSD1zMpj1lJ,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2734fcc774908c0f9c01e02a7a5"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e024fcc774908c0f9c01e02a7a5"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048514fcc774908c0f9c01e02a7a5"", ""width"": 64}]",Complementamos,2022-05-27,day,1,album,spotify:album:0BGHfLapjIuDSD1zMpj1lJ,single,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2jE5NeCBZpgohvRLtQ6v0O""}, ""href"": ""https://api.spotify.com/v1/artists/2jE5NeCBZpgohvRLtQ6v0O"", ""id"": ""2jE5NeCBZpgohvRLtQ6v0O"", ""name"": ""Ronald El Killa"", ""type"": ""artist"", ""uri"": ""spotify:artist:2jE5NeCBZpgohvRLtQ6v0O""}]","{""spotify"": ""https://open.spotify.com/album/0BMDzgkq0VrzgZjoscxztD""}",https://api.spotify.com/v1/albums/0BMDzgkq0VrzgZjoscxztD,0BMDzgkq0VrzgZjoscxztD,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2736dc3af21f2d8ba8eac835be0"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e026dc3af21f2d8ba8eac835be0"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048516dc3af21f2d8ba8eac835be0"", ""width"": 64}]",Loco,2018-07-07,day,1,album,spotify:album:0BMDzgkq0VrzgZjoscxztD,,
